scenario_group,comparison,controller_a,controller_b,n_a,n_b,small_n_warning,mean_a,mean_b,delta,mann_whitney_U,p_value_raw,cohens_d,p_value_bh_corrected,significant_005
hard,ncp_vs_fixed,ltc_imitation_residual,fixed_policy,400,400,no,0.355,0.37,-0.015000000000000013,78800.0,0.6592116136327917,-0.031167823294138808,1.0,no
hard,residual_vs_pure,ltc_rl_finetune_residual,ltc_rl_finetune_pure,400,400,no,0.355,0.0,0.355,108400.0,0.0,1.047866048602565,0.0,yes
hard,ncp_vs_fixed,ltc_rl_finetune_residual,fixed_policy,400,400,no,0.355,0.37,-0.015000000000000013,78800.0,0.6592116136327917,-0.031167823294138808,1.0,no
hard,trained_vs_random,ltc_rl_finetune_residual,ltc_random_residual,400,400,no,0.355,0.3625,-0.007500000000000007,79400.0,0.8250914261920632,-0.015617853543595772,1.0,no
hard,residual_vs_pure,mlp_imitation_residual,mlp_imitation_pure,400,400,no,0.3475,0.0,0.3475,107800.0,0.0,1.0307624674811438,0.0,yes
hard,mlp_vs_fixed,mlp_imitation_residual,fixed_policy,400,400,no,0.3475,0.37,-0.02250000000000002,78200.0,0.5073277457626489,-0.0468650218737745,1.0,no
hard,residual_vs_pure,mlp_rl_finetune_residual,mlp_rl_finetune_pure,400,400,no,0.3375,0.0,0.3375,107000.0,0.0,1.0081273504458559,0.0,yes
hard,mlp_vs_fixed,mlp_rl_finetune_residual,fixed_policy,400,400,no,0.3375,0.37,-0.03249999999999997,77400.0,0.33671363184690606,-0.06792697536942596,1.0,no
hard,ncp_vs_mlp,cfc_imitation_pure,mlp_imitation_pure,400,400,no,0.0,0.0,0.0,80000.0,1.0,0.0,1.0,no
hard,ncp_vs_mlp,cfc_imitation_residual,mlp_imitation_residual,400,400,no,0.37,0.3475,0.02250000000000002,81800.0,0.5073277457626489,0.0468650218737745,1.0,no
hard,ncp_vs_mlp,cfc_rl_finetune_pure,mlp_rl_finetune_pure,400,400,no,0.0,0.0,0.0,80000.0,1.0,0.0,1.0,no
hard,ncp_vs_mlp,cfc_rl_finetune_residual,mlp_rl_finetune_residual,400,400,no,0.375,0.3375,0.03749999999999998,83000.0,0.26841416565409837,0.0782681007740174,0.9969669010009368,no
hard,ncp_vs_mlp,ltc_imitation_pure,mlp_imitation_pure,400,400,no,0.0,0.0,0.0,80000.0,1.0,0.0,1.0,no
hard,ncp_vs_mlp,ltc_imitation_residual,mlp_imitation_residual,400,400,no,0.355,0.3475,0.007500000000000007,80600.0,0.8242722432173675,0.01569221553737739,1.0,no
hard,ncp_vs_mlp,ltc_rl_finetune_pure,mlp_rl_finetune_pure,400,400,no,0.0,0.0,0.0,80000.0,1.0,0.0,1.0,no
hard,ncp_vs_mlp,ltc_rl_finetune_residual,mlp_rl_finetune_residual,400,400,no,0.355,0.3375,0.01749999999999996,81400.0,0.6031658899528383,0.03674237433139653,1.0,no
hard,cfc_vs_ltc,cfc_imitation_pure,ltc_imitation_pure,400,400,no,0.0,0.0,0.0,80000.0,1.0,0.0,1.0,no
hard,cfc_vs_ltc,cfc_imitation_residual,ltc_imitation_residual,400,400,no,0.37,0.355,0.015000000000000013,81200.0,0.6592116136327917,0.031167823294138808,1.0,no
hard,cfc_vs_ltc,cfc_rl_finetune_pure,ltc_rl_finetune_pure,400,400,no,0.0,0.0,0.0,80000.0,1.0,0.0,1.0,no
hard,cfc_vs_ltc,cfc_rl_finetune_residual,ltc_rl_finetune_residual,400,400,no,0.375,0.355,0.020000000000000018,81600.0,0.557111027461419,0.04149988201413102,1.0,no
