controller,scenario,n,success_rate,collision_rate,mean_steps,mean_path_length,mean_min_clearance,mean_near_misses,mean_overrides,mean_adaptation_lag,mean_progress,cell,stage,variant
cfc_rl_finetune_residual,shifted_clutter,2,1.0,0.0,41.0,13.120000000000005,0.16673645098413858,3.0,0.0,41.0,0.2622956893888768,cfc,rl_finetune,residual
cfc_rl_finetune_residual,train_like,2,1.0,0.0,41.0,13.120000000000003,0.400159435948492,1.5,0.0,41.0,0.26192127891696404,cfc,rl_finetune,residual
cfc_rl_finetune_residual,u_trap,2,1.0,0.0,39.5,12.640000000000008,0.5847584223680637,0.0,0.0,39.5,0.26934560930564105,cfc,rl_finetune,residual
cfc_rl_finetune_residual,zigzag_corridor,2,0.0,1.0,27.5,8.800000000000002,-0.05175779532145433,9.5,0.0,120.0,0.16678733796886608,cfc,rl_finetune,residual
fixed_policy,deceptive_u_trap,2,1.0,0.0,62.0,19.84000000000001,0.5163554430310533,0.0,0.0,62.0,0.17040791427299212,fixed,fixed,baseline
fixed_policy,dense_maze,2,1.0,0.0,67.0,21.44000000000001,0.010052907209778111,11.5,0.0,67.0,0.15990219181756843,fixed,fixed,baseline
fixed_policy,labyrinth_maze,2,0.5,0.5,42.5,13.600000000000003,-0.0269810966311064,11.0,0.0,86.5,0.19941726028850393,fixed,fixed,baseline
fixed_policy,narrow_gate,2,1.0,0.0,47.5,15.200000000000006,0.507982048464266,0.0,0.0,47.5,0.22596085238606456,fixed,fixed,baseline
fixed_policy,sensor_shadow,2,0.0,1.0,40.0,12.800000000000006,-0.05906401244660278,7.5,0.0,120.0,0.154497964717694,fixed,fixed,baseline
fixed_policy,shifted_clutter,2,0.5,0.0,87.0,27.840000000000014,0.4325350975267071,0.0,0.0,87.0,0.11334686924671243,fixed,fixed,baseline
fixed_policy,train_like,2,0.5,0.0,93.5,29.92000000000002,0.47030610583324484,0.0,0.0,93.5,0.11403681687401623,fixed,fixed,baseline
fixed_policy,u_trap,2,1.0,0.0,64.0,20.48000000000001,0.4883825224737901,0.0,0.0,64.0,0.1688390239023553,fixed,fixed,baseline
fixed_policy,zigzag_corridor,2,0.0,1.0,29.5,9.440000000000005,-0.03629939641213342,9.0,0.0,120.0,0.17126547876250564,fixed,fixed,baseline
ltc_imitation_pure,deceptive_u_trap,2,0.0,1.0,17.0,5.4399999999999995,-0.08871488522668097,3.5,0.0,120.0,0.2903259769743923,ltc,imitation,pure
ltc_imitation_pure,dense_maze,2,0.0,1.0,9.5,3.04,-0.16736171234273817,4.0,0.0,120.0,0.29995537371395536,ltc,imitation,pure
ltc_imitation_pure,labyrinth_maze,2,0.0,1.0,7.0,2.2400000000000007,-0.13660402067703406,4.0,0.0,120.0,0.3004786493786613,ltc,imitation,pure
ltc_imitation_pure,narrow_gate,2,0.0,1.0,17.0,5.4399999999999995,-0.1306264245160454,2.0,0.0,120.0,0.2903252850013987,ltc,imitation,pure
