controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
liquid_online,deceptive_u_trap,770036,0,1,13,4.160000000000002,-0.06771752300952033,2,0,8,0.30330969043906947
liquid_supervisor,deceptive_u_trap,770036,1,0,38,12.160000000000004,0.37050387196830864,0,14,8,0.2853956868297779
fixed_policy,deceptive_u_trap,770053,1,0,50,16.000000000000007,0.4813379780827855,0,0,8,0.21102340708384493
liquid_online,deceptive_u_trap,770053,0,1,43,13.760000000000007,-0.06320324769241231,6,0,8,0.2102342179705407
liquid_supervisor,deceptive_u_trap,770053,1,0,37,11.840000000000003,0.3541669223904195,0,7,8,0.2865269200706091
fixed_policy,deceptive_u_trap,770070,1,0,43,13.760000000000007,0.19166908602235383,3,0,8,0.24641157964397267
liquid_online,deceptive_u_trap,770070,1,0,47,15.039999999999997,0.22750176125945026,1,0,8,0.22723197204571183
liquid_supervisor,deceptive_u_trap,770070,1,0,37,11.840000000000003,0.3613650746133669,0,11,8,0.2859908371841825
fixed_policy,deceptive_u_trap,770087,1,0,44,14.080000000000007,0.5013683433404321,0,0,8,0.23838042595654788
liquid_online,deceptive_u_trap,770087,1,0,68,21.760000000000012,0.16354744647807323,2,0,8,0.1558719896400635
liquid_supervisor,deceptive_u_trap,770087,1,0,37,11.840000000000007,0.3577009564154305,0,6,8,0.28672300615301494
fixed_policy,deceptive_u_trap,770104,1,0,45,14.400000000000006,0.3922674640322062,0,0,8,0.23241940800176755
liquid_online,deceptive_u_trap,770104,1,0,48,15.360000000000005,0.43312211081111557,0,0,8,0.21928151149315225
liquid_supervisor,deceptive_u_trap,770104,1,0,37,11.84,0.4052097749360199,0,9,8,0.28282514048862034
fixed_policy,deceptive_u_trap,770121,1,0,43,13.760000000000007,0.5392941162208724,0,0,8,0.2494758060603215
liquid_online,deceptive_u_trap,770121,1,0,47,15.040000000000003,0.2905624051734453,2,0,8,0.22972976885769186
liquid_supervisor,deceptive_u_trap,770121,1,0,38,12.160000000000004,0.418019600214025,0,14,8,0.28506362570130434
fixed_policy,sensor_shadow,770003,0,1,22,7.040000000000002,-0.08428559653740031,4,0,8,0.2153830584087155
liquid_online,sensor_shadow,770003,0,1,22,7.040000000000002,-0.08428559653740031,4,0,8,0.2153830584087155
liquid_supervisor,sensor_shadow,770003,1,0,47,15.040000000000004,0.21587770107635157,6,24,8,0.22928229509439163
fixed_policy,sensor_shadow,770020,0,1,41,13.119999999999994,-0.018688377399521172,9,0,8,0.11964492134563033
liquid_online,sensor_shadow,770020,0,1,19,6.079999999999997,-0.016803161491285745,2,0,8,0.2073664265342593
liquid_supervisor,sensor_shadow,770020,1,0,47,15.040000000000006,0.19015504924893184,6,25,8,0.22800194347083688
fixed_policy,sensor_shadow,770037,0,1,19,6.080000000000002,-0.10003576974449452,2,0,8,0.23287402913459593
liquid_online,sensor_shadow,770037,0,1,33,10.560000000000002,-0.04025610705445887,7,0,120,0.11022589046417357
liquid_supervisor,sensor_shadow,770037,1,0,47,15.040000000000008,0.25103752274938324,6,27,8,0.22857463824618945
fixed_policy,sensor_shadow,770054,0,1,31,9.920000000000007,-0.004810569294164069,4,0,8,0.16941245409391487
liquid_online,sensor_shadow,770054,0,1,30,9.600000000000005,-0.08834856392747176,2,0,8,0.172659191008946
liquid_supervisor,sensor_shadow,770054,1,0,63,20.160000000000007,0.2110825727157863,6,37,8,0.17157596912666978
fixed_policy,sensor_shadow,770071,0,1,68,21.760000000000012,-0.11481577653469893,12,0,8,0.05439547702020677
liquid_online,sensor_shadow,770071,0,1,46,14.720000000000006,-0.030754352275728092,10,0,8,0.15116073316918802
liquid_supervisor,sensor_shadow,770071,1,0,47,15.040000000000008,0.24361805414136334,6,22,8,0.22901841816786103
fixed_policy,sensor_shadow,770088,0,1,54,17.28,-0.02450168652557816,24,0,8,0.10559538865369861
liquid_online,sensor_shadow,770088,0,1,30,9.6,-0.10071090690220424,7,0,8,0.1467456786434826
liquid_supervisor,sensor_shadow,770088,1,0,46,14.720000000000008,0.21306804469824997,7,22,8,0.23067200381078284
fixed_policy,sensor_shadow,770105,0,1,17,5.440000000000001,-0.01008627901788578,3,0,8,0.25381189885546884
liquid_online,sensor_shadow,770105,0,1,19,6.080000000000002,-0.14948555791600215,2,0,8,0.23558957004925707
liquid_supervisor,sensor_shadow,770105,1,0,46,14.720000000000006,0.24436748137235959,6,24,8,0.22909976341397817
fixed_policy,sensor_shadow,770122,0,1,19,6.079999999999998,-0.035640020819045715,2,0,8,0.22993570744474615
liquid_online,sensor_shadow,770122,0,1,28,8.960000000000004,-0.11305137759963829,4,0,8,0.12853777093077162
liquid_supervisor,sensor_shadow,770122,1,0,47,15.040000000000012,0.24935363466499844,6,24,8,0.22941912625173672
